amplitude_px,wavelength_px,fdi,c_gov,curv,p,image
0,48,0.0,0.0,0.0,1.0,test_images/wavy_sensitivity/wavy_amp00_lambda48.png
2,48,4.5163,0.1067,0.0047,1.0,test_images/wavy_sensitivity/wavy_amp02_lambda48.png
4,48,4.3375,0.255,0.0065,1.0,test_images/wavy_sensitivity/wavy_amp04_lambda48.png
6,48,4.967,0.471,0.0108,1.0,test_images/wavy_sensitivity/wavy_amp06_lambda48.png
8,48,6.4885,0.6696,0.0154,1.0,test_images/wavy_sensitivity/wavy_amp08_lambda48.png
10,48,7.2961,0.8635,0.0205,1.0,test_images/wavy_sensitivity/wavy_amp10_lambda48.png
12,48,9.4896,0.9704,0.0229,1.0,test_images/wavy_sensitivity/wavy_amp12_lambda48.png
14,48,9.6434,0.8385,0.0241,1.0,test_images/wavy_sensitivity/wavy_amp14_lambda48.png
16,48,9.6276,0.7401,0.0252,1.0,test_images/wavy_sensitivity/wavy_amp16_lambda48.png
18,48,11.0338,0.6541,0.0248,1.0,test_images/wavy_sensitivity/wavy_amp18_lambda48.png
20,48,12.2992,0.5781,0.0269,1.0,test_images/wavy_sensitivity/wavy_amp20_lambda48.png
22,48,13.802,0.5226,0.0287,1.0,test_images/wavy_sensitivity/wavy_amp22_lambda48.png
24,48,13.3071,0.4725,0.0288,1.0,test_images/wavy_sensitivity/wavy_amp24_lambda48.png
26,48,14.7036,0.4401,0.0301,1.0,test_images/wavy_sensitivity/wavy_amp26_lambda48.png
28,48,14.8819,0.4006,0.0314,1.0,test_images/wavy_sensitivity/wavy_amp28_lambda48.png
30,48,15.7425,0.3768,0.0317,1.0,test_images/wavy_sensitivity/wavy_amp30_lambda48.png
0,96,0.0,0.0,0.0,1.0,test_images/wavy_sensitivity/wavy_amp00_lambda96.png
2,96,4.421,0.0524,0.0013,1.0,test_images/wavy_sensitivity/wavy_amp02_lambda96.png
4,96,4.3984,0.1037,0.0022,1.0,test_images/wavy_sensitivity/wavy_amp04_lambda96.png
6,96,3.1956,0.168,0.0025,1.0,test_images/wavy_sensitivity/wavy_amp06_lambda96.png
8,96,2.9105,0.2541,0.0036,1.0,test_images/wavy_sensitivity/wavy_amp08_lambda96.png
10,96,3.0268,0.355,0.0034,1.0,test_images/wavy_sensitivity/wavy_amp10_lambda96.png
12,96,3.4946,0.4606,0.003,1.0,test_images/wavy_sensitivity/wavy_amp12_lambda96.png
14,96,3.1046,0.5681,0.0033,1.0,test_images/wavy_sensitivity/wavy_amp14_lambda96.png
16,96,3.3485,0.6609,0.0038,1.0,test_images/wavy_sensitivity/wavy_amp16_lambda96.png
18,96,3.2453,0.7601,0.004,1.0,test_images/wavy_sensitivity/wavy_amp18_lambda96.png
20,96,3.4517,0.8478,0.0043,1.0,test_images/wavy_sensitivity/wavy_amp20_lambda96.png
22,96,4.8296,0.9285,0.0046,0.8698,test_images/wavy_sensitivity/wavy_amp22_lambda96.png
24,96,3.583,0.9627,0.0052,1.0,test_images/wavy_sensitivity/wavy_amp24_lambda96.png
26,96,4.2085,0.9082,0.0054,1.0,test_images/wavy_sensitivity/wavy_amp26_lambda96.png
28,96,4.4471,0.8511,0.007,1.0,test_images/wavy_sensitivity/wavy_amp28_lambda96.png
30,96,3.7591,0.7964,0.0066,1.0,test_images/wavy_sensitivity/wavy_amp30_lambda96.png
0,160,0.0,0.0,0.0,1.0,test_images/wavy_sensitivity/wavy_amp00_lambda160.png
2,160,3.9817,0.0326,0.0007,1.0,test_images/wavy_sensitivity/wavy_amp02_lambda160.png
4,160,4.497,0.0644,0.0017,1.0,test_images/wavy_sensitivity/wavy_amp04_lambda160.png
6,160,4.5472,0.0952,0.0032,1.0,test_images/wavy_sensitivity/wavy_amp06_lambda160.png
8,160,3.8202,0.1276,0.0017,1.0,test_images/wavy_sensitivity/wavy_amp08_lambda160.png
10,160,3.3263,0.1715,0.0018,1.0,test_images/wavy_sensitivity/wavy_amp10_lambda160.png
12,160,2.7334,0.2192,0.0026,1.0,test_images/wavy_sensitivity/wavy_amp12_lambda160.png
14,160,2.3128,0.2747,0.0024,1.0,test_images/wavy_sensitivity/wavy_amp14_lambda160.png
16,160,2.316,0.3373,0.0026,1.0,test_images/wavy_sensitivity/wavy_amp16_lambda160.png
18,160,2.4648,0.4021,0.0027,1.0,test_images/wavy_sensitivity/wavy_amp18_lambda160.png
20,160,2.7098,0.4647,0.0029,0.9595,test_images/wavy_sensitivity/wavy_amp20_lambda160.png
22,160,2.7562,0.5316,0.0026,1.0,test_images/wavy_sensitivity/wavy_amp22_lambda160.png
24,160,2.6835,0.5956,0.0022,1.0,test_images/wavy_sensitivity/wavy_amp24_lambda160.png
26,160,3.1989,0.6563,0.0025,0.7826,test_images/wavy_sensitivity/wavy_amp26_lambda160.png
28,160,2.654,0.7146,0.0023,1.0,test_images/wavy_sensitivity/wavy_amp28_lambda160.png
30,160,2.9544,0.7728,0.0026,1.0,test_images/wavy_sensitivity/wavy_amp30_lambda160.png
